Item_ID,Brand_ID,Category,Material,Item_Price_USD,Expected_Wear_Frequency_per_month,usage_label
ITEM-000068,BRAND-3110,Blouse,Organic Cotton,26.62,1,Low
ITEM-000069,BRAND-0156,Shorts,Organic Cotton,21.28,2,Low
ITEM-000070,BRAND-0493,Blouse,Hemp,45.02,3,Low
ITEM-000071,BRAND-3050,Blouse,Bamboo Fabric,196.38,3,Low
ITEM-000072,BRAND-0311,Dress,Vegan Leather,522.15,5,Medium
ITEM-000073,BRAND-1269,Jeans,Bamboo Fabric,141.21,3,Low
ITEM-000074,BRAND-4888,Activewear,Organic Cotton,300.66,6,Medium
ITEM-000075,BRAND-2416,Coat,Tencel,207.43,1,Low
ITEM-000076,BRAND-2844,T-shirt,Organic Cotton,69.97,5,Medium
ITEM-000077,BRAND-4714,Sweater,Bamboo Fabric,467.33,2,Low
ITEM-000078,BRAND-4432,Dress,Tencel,456.39,3,Low
ITEM-000079,BRAND-4139,T-shirt,Organic Cotton,120.04,11,High
ITEM-000080,BRAND-2800,T-shirt,Bamboo Fabric,10.0,5,Medium
ITEM-000081,BRAND-0507,Jacket,Hemp,638.68,1,Low
ITEM-000082,BRAND-1548,Activewear,Vegan Leather,117.98,4,Medium
ITEM-000083,BRAND-3734,T-shirt,Organic Cotton,95.17,5,Medium
ITEM-000084,BRAND-3516,T-shirt,Bamboo Fabric,57.08,6,Medium
ITEM-000085,BRAND-4080,Shorts,Recycled Polyester,51.71,1,Low
ITEM-000086,BRAND-4604,T-shirt,Tencel,33.06,10,High
ITEM-000087,BRAND-1188,Sweater,Bamboo Fabric,533.0,1,Low
ITEM-000088,BRAND-2182,Skirt,Recycled Polyester,220.43,3,Low
ITEM-000089,BRAND-4658,Jacket,Organic Cotton,508.07,3,Low
ITEM-000090,BRAND-2926,Blouse,Organic Cotton,195.04,2,Low
ITEM-000091,BRAND-3503,Jeans,Hemp,18.54,5,Medium
ITEM-000092,BRAND-2549,Coat,Vegan Leather,576.0,1,Low
ITEM-000093,BRAND-2061,Dress,Organic Cotton,357.66,3,Low
ITEM-000094,BRAND-2858,Sweater,Bamboo Fabric,160.6,5,Medium
ITEM-000095,BRAND-3428,T-shirt,Bamboo Fabric,75.18,6,Medium
ITEM-000096,BRAND-2568,Jeans,Bamboo Fabric,195.9,8,Medium
ITEM-000097,BRAND-4573,Skirt,Organic Cotton,188.14,4,Medium
ITEM-000098,BRAND-0655,Jeans,Organic Cotton,112.74,9,High
ITEM-000099,BRAND-4278,Jeans,Bamboo Fabric,38.47,5,Medium
ITEM-000100,BRAND-1848,Skirt,Bamboo Fabric,316.74,1,Low
ITEM-000101,BRAND-3556,Sweater,Recycled Polyester,183.25,3,Low
ITEM-000102,BRAND-2811,Jeans,Organic Cotton,324.83,7,Medium
ITEM-000103,BRAND-4164,Blouse,Vegan Leather,120.54,1,Low
ITEM-000104,BRAND-0310,Dress,Bamboo Fabric,181.45,2,Low
ITEM-000105,BRAND-2374,Skirt,Vegan Leather,189.8,3,Low
ITEM-000106,BRAND-4162,T-shirt,Vegan Leather,10.54,9,High
ITEM-000107,BRAND-1418,Jacket,Bamboo Fabric,465.36,1,Low
ITEM-000108,BRAND-1837,Blouse,Bamboo Fabric,16.52,3,Low
ITEM-000109,BRAND-1488,Jacket,Hemp,240.5,2,Low
ITEM-000110,BRAND-0682,T-shirt,Recycled Polyester,74.95,8,Medium
ITEM-000111,BRAND-0809,Jacket,Organic Cotton,529.32,2,Low
ITEM-000112,BRAND-4263,Shorts,Recycled Polyester,172.9,1,Low
ITEM-000113,BRAND-4711,Dress,Bamboo Fabric,62.61,1,Low
ITEM-000114,BRAND-4363,Jeans,Vegan Leather,462.78,1,Low
ITEM-000115,BRAND-0332,Jeans,Tencel,74.51,6,Medium
ITEM-000116,BRAND-1296,Blouse,Hemp,139.25,5,Medium
ITEM-000117,BRAND-1983,Blouse,Tencel,36.35,1,Low
ITEM-000118,BRAND-0521,Jeans,Vegan Leather,544.08,5,Medium
ITEM-000119,BRAND-0618,Blouse,Recycled Polyester,101.69,1,Low
ITEM-000120,BRAND-3293,Activewear,Tencel,55.73,6,Medium
ITEM-000121,BRAND-3594,Jacket,Vegan Leather,214.08,1,Low
ITEM-000122,BRAND-2133,Jacket,Recycled Polyester,72.67,2,Low
ITEM-000123,BRAND-2804,Skirt,Vegan Leather,274.8,7,Medium
ITEM-000124,BRAND-2444,T-shirt,Organic Cotton,20.24,5,Medium
ITEM-000125,BRAND-0326,Sweater,Vegan Leather,459.72,2,Low
ITEM-000126,BRAND-2606,Dress,Recycled Polyester,308.4,3,Low
ITEM-000127,BRAND-4410,T-shirt,Bamboo Fabric,51.84,12,High
ITEM-000128,BRAND-1948,Skirt,Vegan Leather,358.55,3,Low
ITEM-000129,BRAND-1491,Shorts,Vegan Leather,92.29,3,Low
ITEM-000130,BRAND-4688,Jeans,Bamboo Fabric,107.61,7,Medium
ITEM-000131,BRAND-1950,Blouse,Vegan Leather,13.92,1,Low
ITEM-000132,BRAND-1355,Sweater,Vegan Leather,606.9,3,Low
ITEM-000133,BRAND-2400,Jeans,Hemp,367.17,10,High
ITEM-000134,BRAND-4229,Shorts,Recycled Polyester,81.29,1,Low
ITEM-000135,BRAND-1281,T-shirt,Vegan Leather,115.99,12,High
ITEM-000136,BRAND-4839,Blouse,Bamboo Fabric,230.64,4,Medium
ITEM-000137,BRAND-4508,Activewear,Hemp,232.56,8,Medium
ITEM-000138,BRAND-1713,Activewear,Hemp,105.05,8,Medium
ITEM-000139,BRAND-2246,T-shirt,Organic Cotton,71.27,7,Medium
ITEM-000140,BRAND-0046,Coat,Tencel,96.02,1,Low
ITEM-000141,BRAND-3499,Blouse,Vegan Leather,67.46,2,Low
ITEM-000142,BRAND-4407,Dress,Tencel,216.73,3,Low
ITEM-000143,BRAND-2589,Activewear,Bamboo Fabric,209.06,10,High
ITEM-000144,BRAND-1709,T-shirt,Organic Cotton,68.21,15,High
ITEM-000145,BRAND-0545,Shorts,Hemp,310.05,2,Low
ITEM-000146,BRAND-1590,Blouse,Recycled Polyester,20.87,1,Low
ITEM-000147,BRAND-4355,Jacket,Organic Cotton,136.03,1,Low
ITEM-000148,BRAND-1161,Shorts,Organic Cotton,104.52,2,Low
ITEM-000149,BRAND-2329,Jacket,Organic Cotton,726.16,1,Low
ITEM-000150,BRAND-3425,Jacket,Vegan Leather,580.69,4,Medium
ITEM-000151,BRAND-0428,Coat,Bamboo Fabric,435.12,1,Low
ITEM-000152,BRAND-0303,Shorts,Hemp,14.53,3,Low
ITEM-000153,BRAND-4606,T-shirt,Tencel,34.12,3,Low
ITEM-000154,BRAND-2950,Jacket,Tencel,641.6,1,Low
ITEM-000155,BRAND-3927,Coat,Tencel,674.56,1,Low
ITEM-000156,BRAND-2683,Activewear,Recycled Polyester,258.09,6,Medium
ITEM-000157,BRAND-4568,T-shirt,Organic Cotton,84.08,5,Medium
ITEM-000158,BRAND-2912,Sweater,Vegan Leather,182.08,2,Low
ITEM-000159,BRAND-0785,Dress,Recycled Polyester,381.92,2,Low
ITEM-000160,BRAND-4797,Sweater,Vegan Leather,338.32,5,Medium
ITEM-000161,BRAND-2737,Jeans,Bamboo Fabric,209.4,9,High
ITEM-000162,BRAND-3796,Coat,Hemp,240.79,1,Low
ITEM-000163,BRAND-3660,T-shirt,Recycled Polyester,85.27,9,High
ITEM-000164,BRAND-3933,T-shirt,Hemp,77.03,6,Medium
ITEM-000165,BRAND-0331,Sweater,Tencel,166.41,4,Medium
ITEM-000166,BRAND-1817,Coat,Bamboo Fabric,448.26,1,Low
ITEM-000167,BRAND-1372,Dress,Hemp,258.68,3,Low
ITEM-000168,BRAND-2332,Activewear,Tencel,120.96,5,Medium
ITEM-000169,BRAND-3695,Sweater,Tencel,562.28,2,Low
ITEM-000170,BRAND-1037,T-shirt,Vegan Leather,50.88,13,High
ITEM-000171,BRAND-0282,Coat,Organic Cotton,605.88,1,Low
ITEM-000172,BRAND-4697,Jacket,Recycled Polyester,705.15,2,Low
ITEM-000173,BRAND-1500,Sweater,Bamboo Fabric,105.62,4,Medium
ITEM-000174,BRAND-1401,Skirt,Hemp,41.77,2,Low
ITEM-000175,BRAND-3474,Activewear,Tencel,196.71,4,Medium
ITEM-000176,BRAND-0522,Shorts,Hemp,106.83,2,Low
ITEM-000177,BRAND-3308,Dress,Recycled Polyester,454.73,2,Low
ITEM-000178,BRAND-1441,Sweater,Vegan Leather,586.94,5,Medium
ITEM-000179,BRAND-4121,Coat,Bamboo Fabric,145.67,3,Low
ITEM-000180,BRAND-1879,Sweater,Organic Cotton,340.58,3,Low
ITEM-000181,BRAND-3598,Dress,Bamboo Fabric,152.8,3,Low
ITEM-000182,BRAND-1263,Dress,Hemp,438.41,1,Low
ITEM-000183,BRAND-4683,Jacket,Organic Cotton,564.62,2,Low
ITEM-000184,BRAND-4123,Coat,Hemp,556.98,1,Low
ITEM-000185,BRAND-1218,Jacket,Vegan Leather,828.71,2,Low
ITEM-000186,BRAND-0974,Jeans,Hemp,384.01,3,Low
ITEM-000187,BRAND-2303,Dress,Organic Cotton,108.85,2,Low
ITEM-000188,BRAND-3629,Sweater,Bamboo Fabric,48.19,6,Medium
ITEM-000189,BRAND-0456,Dress,Organic Cotton,285.01,1,Low
ITEM-000190,BRAND-0185,Dress,Vegan Leather,140.4,1,Low
ITEM-000191,BRAND-0473,Jacket,Organic Cotton,840.19,3,Low
ITEM-000192,BRAND-4138,Sweater,Hemp,531.31,1,Low
ITEM-000193,BRAND-2854,Activewear,Bamboo Fabric,153.54,4,Medium
ITEM-000194,BRAND-4030,Jeans,Organic Cotton,261.1,8,Medium
ITEM-000195,BRAND-0926,Blouse,Hemp,30.66,1,Low
ITEM-000196,BRAND-0368,Sweater,Tencel,755.48,3,Low
ITEM-000197,BRAND-0107,Dress,Hemp,307.47,2,Low
ITEM-000198,BRAND-4413,Skirt,Tencel,126.32,2,Low
ITEM-000199,BRAND-3240,Sweater,Tencel,256.13,5,Medium
ITEM-000200,BRAND-3812,Blouse,Tencel,171.8,1,Low
ITEM-000201,BRAND-2216,T-shirt,Organic Cotton,26.42,12,High
ITEM-000202,BRAND-2620,Shorts,Organic Cotton,129.06,2,Low
ITEM-000203,BRAND-2862,Coat,Bamboo Fabric,413.34,1,Low
ITEM-000204,BRAND-3241,Shorts,Vegan Leather,146.0,4,Medium
ITEM-000205,BRAND-3419,Jeans,Organic Cotton,329.15,8,Medium
ITEM-000206,BRAND-4560,T-shirt,Hemp,28.28,3,Low
ITEM-000207,BRAND-1644,Dress,Vegan Leather,213.91,3,Low
ITEM-000208,BRAND-1017,Jeans,Tencel,185.21,5,Medium
ITEM-000209,BRAND-1678,Shorts,Bamboo Fabric,286.06,2,Low
ITEM-000210,BRAND-0534,Coat,Vegan Leather,734.93,1,Low
ITEM-000211,BRAND-3693,Coat,Bamboo Fabric,197.83,1,Low
ITEM-000212,BRAND-0987,T-shirt,Vegan Leather,138.49,11,High
ITEM-000213,BRAND-3552,T-shirt,Organic Cotton,147.7,8,Medium
ITEM-000214,BRAND-0528,Activewear,Bamboo Fabric,102.65,7,Medium
ITEM-000215,BRAND-1905,Sweater,Vegan Leather,555.33,1,Low
ITEM-000216,BRAND-0601,Activewear,Bamboo Fabric,196.93,7,Medium
ITEM-000217,BRAND-4687,Jacket,Bamboo Fabric,267.65,3,Low
ITEM-000218,BRAND-3497,Jacket,Recycled Polyester,581.58,4,Medium
ITEM-000219,BRAND-1546,Jeans,Vegan Leather,127.08,9,High
ITEM-000220,BRAND-1402,Dress,Vegan Leather,284.4,2,Low
ITEM-000221,BRAND-4252,Sweater,Tencel,80.09,1,Low
ITEM-000222,BRAND-4055,Jeans,Tencel,262.88,5,Medium
ITEM-000223,BRAND-2043,Sweater,Tencel,340.74,2,Low
ITEM-000224,BRAND-1983,Dress,Recycled Polyester,57.01,5,Medium
ITEM-000225,BRAND-3358,Jacket,Recycled Polyester,244.2,3,Low
ITEM-000226,BRAND-3206,Dress,Organic Cotton,26.9,1,Low
ITEM-000227,BRAND-3037,Jacket,Bamboo Fabric,586.89,4,Medium
ITEM-000228,BRAND-0308,Skirt,Organic Cotton,151.29,2,Low
ITEM-000229,BRAND-4997,Skirt,Tencel,45.12,2,Low
ITEM-000230,BRAND-0210,Sweater,Organic Cotton,364.62,4,Medium
ITEM-000231,BRAND-1608,Shorts,Hemp,81.22,6,Medium
ITEM-000232,BRAND-2615,Sweater,Organic Cotton,165.64,2,Low
ITEM-000233,BRAND-1577,Jacket,Hemp,553.29,2,Low
ITEM-000234,BRAND-2775,Jacket,Tencel,131.14,2,Low
ITEM-000235,BRAND-0063,Coat,Tencel,508.27,1,Low
ITEM-000236,BRAND-3905,Coat,Bamboo Fabric,614.09,1,Low
ITEM-000237,BRAND-3816,Jeans,Hemp,283.74,8,Medium
ITEM-000238,BRAND-0724,Skirt,Tencel,20.19,1,Low
ITEM-000239,BRAND-3284,T-shirt,Organic Cotton,86.88,6,Medium
ITEM-000240,BRAND-4787,Jacket,Recycled Polyester,728.69,1,Low
ITEM-000241,BRAND-2453,Shorts,Tencel,197.58,3,Low
ITEM-000242,BRAND-2835,Sweater,Vegan Leather,111.92,3,Low
ITEM-000243,BRAND-2542,Sweater,Tencel,239.7,3,Low
ITEM-000244,BRAND-0257,Shorts,Vegan Leather,35.44,3,Low
ITEM-000245,BRAND-4251,Jeans,Bamboo Fabric,167.12,9,High
ITEM-000246,BRAND-0948,T-shirt,Recycled Polyester,10.0,10,High
ITEM-000247,BRAND-4301,Coat,Hemp,735.96,2,Low
ITEM-000248,BRAND-3488,Sweater,Tencel,252.56,3,Low
ITEM-000249,BRAND-1084,T-shirt,Bamboo Fabric,60.76,6,Medium
ITEM-000250,BRAND-4622,Sweater,Vegan Leather,444.36,4,Medium
ITEM-000251,BRAND-1311,T-shirt,Tencel,29.13,9,High
ITEM-000252,BRAND-2835,Jeans,Vegan Leather,182.38,5,Medium
ITEM-000253,BRAND-2980,T-shirt,Hemp,104.99,8,Medium
ITEM-000254,BRAND-3113,Jacket,Hemp,324.44,1,Low
ITEM-000255,BRAND-4375,Activewear,Recycled Polyester,98.87,6,Medium
ITEM-000256,BRAND-2733,Dress,Tencel,441.4,1,Low
ITEM-000257,BRAND-3398,T-shirt,Hemp,14.21,8,Medium
ITEM-000258,BRAND-4498,Dress,Recycled Polyester,424.82,1,Low
ITEM-000259,BRAND-2338,Blouse,Vegan Leather,194.43,2,Low
ITEM-000260,BRAND-1980,Dress,Organic Cotton,174.3,3,Low
ITEM-000261,BRAND-3310,Blouse,Hemp,38.71,1,Low
ITEM-000262,BRAND-2393,Shorts,Hemp,70.44,5,Medium
ITEM-000263,BRAND-0237,Activewear,Hemp,257.26,8,Medium
ITEM-000264,BRAND-3532,T-shirt,Recycled Polyester,64.51,10,High
ITEM-000265,BRAND-4582,Jeans,Organic Cotton,167.88,3,Low
ITEM-000266,BRAND-4312,T-shirt,Organic Cotton,27.35,4,Medium
ITEM-000267,BRAND-1185,Sweater,Recycled Polyester,199.89,1,Low
ITEM-000268,BRAND-3668,Coat,Organic Cotton,399.29,1,Low
ITEM-000269,BRAND-2254,Coat,Tencel,644.26,3,Low
ITEM-000270,BRAND-1209,Activewear,Bamboo Fabric,76.18,8,Medium
ITEM-000271,BRAND-2278,Dress,Recycled Polyester,13.92,2,Low
ITEM-000272,BRAND-3415,T-shirt,Hemp,139.66,5,Medium
ITEM-000273,BRAND-1824,Dress,Organic Cotton,406.02,2,Low
ITEM-000274,BRAND-0238,Coat,Organic Cotton,435.9,2,Low
ITEM-000275,BRAND-1749,Blouse,Recycled Polyester,268.43,1,Low
ITEM-000276,BRAND-4008,Activewear,Bamboo Fabric,30.59,5,Medium
ITEM-000277,BRAND-3903,Sweater,Recycled Polyester,255.51,2,Low
ITEM-000278,BRAND-0190,Blouse,Vegan Leather,267.82,2,Low
ITEM-000279,BRAND-2817,Dress,Tencel,27.74,4,Medium
ITEM-000280,BRAND-0096,Blouse,Tencel,326.22,4,Medium
ITEM-000281,BRAND-3009,Shorts,Bamboo Fabric,45.43,3,Low
ITEM-000282,BRAND-0657,Jeans,Organic Cotton,106.65,5,Medium
ITEM-000283,BRAND-2406,Dress,Bamboo Fabric,302.88,5,Medium
ITEM-000284,BRAND-1273,Coat,Recycled Polyester,98.29,1,Low
ITEM-000285,BRAND-1102,Sweater,Vegan Leather,338.44,5,Medium
ITEM-000286,BRAND-0903,T-shirt,Recycled Polyester,39.68,8,Medium
ITEM-000287,BRAND-0876,T-shirt,Hemp,18.78,5,Medium
ITEM-000288,BRAND-0136,Skirt,Tencel,115.38,4,Medium
ITEM-000289,BRAND-1625,T-shirt,Recycled Polyester,115.47,8,Medium
ITEM-000290,BRAND-4023,T-shirt,Recycled Polyester,108.61,18,High
ITEM-000291,BRAND-4569,Coat,Recycled Polyester,612.44,3,Low
ITEM-000292,BRAND-0976,Jacket,Hemp,516.68,2,Low
ITEM-000293,BRAND-4024,Blouse,Hemp,131.81,1,Low
ITEM-000294,BRAND-4781,T-shirt,Organic Cotton,124.03,8,Medium
ITEM-000295,BRAND-0956,Shorts,Recycled Polyester,116.01,1,Low
ITEM-000296,BRAND-2561,Sweater,Vegan Leather,334.61,5,Medium
ITEM-000297,BRAND-4958,Sweater,Hemp,464.07,5,Medium
ITEM-000298,BRAND-1395,Sweater,Recycled Polyester,137.74,3,Low
ITEM-000299,BRAND-0340,T-shirt,Organic Cotton,109.78,7,Medium
ITEM-000300,BRAND-1945,Blouse,Hemp,150.23,1,Low
ITEM-000301,BRAND-1248,Dress,Hemp,313.73,2,Low
ITEM-000302,BRAND-0535,Sweater,Recycled Polyester,456.33,4,Medium
ITEM-000303,BRAND-2116,Sweater,Bamboo Fabric,372.61,1,Low
ITEM-000304,BRAND-4511,T-shirt,Hemp,39.79,10,High
ITEM-000305,BRAND-2876,Activewear,Tencel,119.27,9,High
ITEM-000306,BRAND-1264,Activewear,Vegan Leather,183.39,10,High
ITEM-000307,BRAND-1523,Blouse,Bamboo Fabric,29.46,1,Low
ITEM-000308,BRAND-3324,T-shirt,Tencel,29.93,11,High
ITEM-000309,BRAND-1904,Sweater,Tencel,473.2,1,Low
ITEM-000310,BRAND-1652,Sweater,Organic Cotton,210.06,3,Low
ITEM-000311,BRAND-2660,Coat,Hemp,580.72,2,Low
ITEM-000312,BRAND-0360,T-shirt,Hemp,77.25,10,High
ITEM-000313,BRAND-1251,Jacket,Organic Cotton,614.22,1,Low
ITEM-000314,BRAND-4336,Skirt,Organic Cotton,198.17,1,Low
ITEM-000315,BRAND-2424,Skirt,Bamboo Fabric,240.56,5,Medium
ITEM-000316,BRAND-0362,Jeans,Vegan Leather,88.93,8,Medium
ITEM-000317,BRAND-1339,Jeans,Hemp,183.2,7,Medium
ITEM-000318,BRAND-2418,Jacket,Bamboo Fabric,144.71,1,Low
ITEM-000319,BRAND-2008,Skirt,Hemp,23.37,1,Low
ITEM-000320,BRAND-2069,Blouse,Recycled Polyester,79.81,2,Low
ITEM-000321,BRAND-3111,Jacket,Organic Cotton,733.41,2,Low
ITEM-000322,BRAND-0470,Jacket,Recycled Polyester,405.59,1,Low
ITEM-000323,BRAND-4921,Blouse,Recycled Polyester,203.08,1,Low
ITEM-000324,BRAND-2041,Jeans,Recycled Polyester,45.32,10,High
ITEM-000325,BRAND-1173,T-shirt,Bamboo Fabric,33.79,7,Medium
ITEM-000326,BRAND-2947,Blouse,Organic Cotton,250.82,2,Low
ITEM-000327,BRAND-3500,Jacket,Recycled Polyester,435.22,1,Low
ITEM-000328,BRAND-2976,Skirt,Recycled Polyester,11.17,4,Medium
ITEM-000329,BRAND-0169,T-shirt,Vegan Leather,10.0,7,Medium
ITEM-000330,BRAND-4080,T-shirt,Bamboo Fabric,44.44,9,High
ITEM-000331,BRAND-1714,Coat,Vegan Leather,221.73,1,Low
ITEM-000332,BRAND-3461,Jeans,Bamboo Fabric,138.55,8,Medium
ITEM-000333,BRAND-4910,Blouse,Hemp,65.91,4,Medium
ITEM-000334,BRAND-1053,Blouse,Hemp,72.32,2,Low
ITEM-000335,BRAND-3968,Jacket,Bamboo Fabric,421.31,1,Low
ITEM-000336,BRAND-1839,T-shirt,Recycled Polyester,71.27,8,Medium
ITEM-000337,BRAND-1527,Sweater,Bamboo Fabric,537.77,1,Low
ITEM-000338,BRAND-2780,Shorts,Organic Cotton,13.36,3,Low
ITEM-000339,BRAND-1864,T-shirt,Hemp,124.92,10,High
ITEM-000340,BRAND-3826,T-shirt,Organic Cotton,51.8,4,Medium
ITEM-000341,BRAND-0764,Jeans,Tencel,297.14,5,Medium
ITEM-000342,BRAND-0479,Activewear,Bamboo Fabric,47.13,8,Medium
ITEM-000343,BRAND-3366,T-shirt,Hemp,37.59,9,High
ITEM-000344,BRAND-0451,Sweater,Bamboo Fabric,119.75,1,Low
ITEM-000345,BRAND-0349,Dress,Organic Cotton,500.54,1,Low
ITEM-000346,BRAND-0261,Coat,Organic Cotton,858.63,1,Low
ITEM-000347,BRAND-2737,Shorts,Vegan Leather,99.52,3,Low
ITEM-000348,BRAND-3841,Activewear,Bamboo Fabric,126.76,7,Medium
ITEM-000349,BRAND-0336,Dress,Recycled Polyester,551.6,5,Medium
ITEM-000350,BRAND-2629,Activewear,Hemp,125.18,6,Medium
ITEM-000351,BRAND-3082,Sweater,Hemp,482.23,2,Low
ITEM-000352,BRAND-4759,Activewear,Bamboo Fabric,127.77,5,Medium
ITEM-000353,BRAND-4629,Jacket,Bamboo Fabric,651.71,1,Low
ITEM-000354,BRAND-0982,Blouse,Vegan Leather,16.56,3,Low
ITEM-000355,BRAND-0300,Sweater,Vegan Leather,356.68,3,Low
ITEM-000356,BRAND-0125,Blouse,Tencel,85.69,2,Low
ITEM-000357,BRAND-3812,Dress,Bamboo Fabric,239.67,3,Low
ITEM-000358,BRAND-3322,Jacket,Hemp,333.89,2,Low
ITEM-000359,BRAND-4651,Blouse,Bamboo Fabric,82.08,1,Low
ITEM-000360,BRAND-1730,Jeans,Tencel,15.66,4,Medium
ITEM-000361,BRAND-0220,Jeans,Vegan Leather,203.72,8,Medium
ITEM-000362,BRAND-1863,Activewear,Tencel,207.64,7,Medium
ITEM-000363,BRAND-4999,Blouse,Tencel,125.72,3,Low
ITEM-000364,BRAND-1368,Sweater,Organic Cotton,216.02,1,Low
ITEM-000365,BRAND-4023,Jacket,Vegan Leather,788.91,1,Low
ITEM-000366,BRAND-0341,Shorts,Tencel,104.12,3,Low
ITEM-000367,BRAND-0203,T-shirt,Vegan Leather,39.84,10,High
ITEM-000368,BRAND-2960,Dress,Tencel,442.23,1,Low
